,tag,text
0,2,@anonymized_account @anonymized_account @anonymized_account Gdzie jest @anonymized_account . Brudziński jesteś kłamcą i marnym kutasem @anonymized_account
1,2,@anonymized_account @anonymized_account No to Skończmy kurwa z tym wersalem w j...ej szczujni
2,2,#Woronicza 17 poseł Halicki oburzony za Bolka.Naprawdè taki tępy czy tylko udaje idiotę?
3,1,@anonymized_account @anonymized_account @anonymized_account Jak narazie to masz przywidzenia co nie zmienia faktu że cały czas jesteś idiotą.
4,1,Nikt nigdy nie rozsiewał takiego smrodu jak @anonymized_account
5,2,"@anonymized_account Hehe, do gazu, hehe jeszcze jakieś emotikony wrzuć"
6,2,"@anonymized_account @anonymized_account @anonymized_account Sekta, cha, cha, cha, obudź się z hipnozy, jesteś bolszewikiem"
7,2,"@anonymized_account @anonymized_account Jasne, bo debile oglądający tvpis płaczą tylko na m jak miłość"
8,2,Zdrady stanu to Donald Tusk dopuścił się już w 2010 r kiedy dodał Rosjanom śledztwo w sprawie katastrofy smoleńskiej.
9,2,@anonymized_account @anonymized_account Ty się oszuście i kłamco od nas odpierdol. My sobie damy radę bez twoich kłamstw
10,1,@anonymized_account Żal ci biedaku??? Gdyby nie Kaczyński to by je twoi przyjaciele z PO rozkradl
11,2,"Sekta kurwa, jakaś niepojęta radość, każde konto pisdzielskie tylko o jednym"
12,2,"@anonymized_account Jebać, jebać, nic się nie bać."
13,1,"@anonymized_account Jakiej pracy, ty już pajacu nie wiesz na czym się lansować. Sejm nie pracuje."
14,1,@anonymized_account Czego się spodziewać po członku żydowskiego amerykańskiego lobby. Lata na kolanach przed żydami zrobiło swoje.
15,2,"Picie to przyszłość, piękna i nieznana, szukajcie zapomnienia, próbujcie różnych trunków, łączcie środki psychoaktywne, powodzenia"
16,2,@anonymized_account Ale ty jesteś żenujący. Dno metr mułu.
17,2,"@anonymized_account znacznie bliżej jest mi muzułmanin  czy indus, niż katolicka, łysa swołocz ze wschodu europy, do tego rasistowska"
18,2,"@anonymized_account @anonymized_account @anonymized_account Low kick, kolano łokieć, blacha na czoło i stara leży"
19,1,"@anonymized_account Wio endekdu, ścierwa, zdrajcy, szubienica"
20,1,"@anonymized_account @anonymized_account Maly murzyn, silny i zdrowy"
21,1,@anonymized_account Jeszcze was zjemy i wysramy
22,2,"@anonymized_account Tak jak pisdzielstwo ośmiesza policjantów , to już, nikt, nigdy bardziej nie będzie"
